"","Date","Elevation.ft","Storage.af","Evaporation.af","Inflow.cfs","UnregInflow.cfs","Power.cfs","Bypass.cfs","Spillway.cfs","Total.cfs","MaxT","MinT","Precip","Snow","MWH"
"25",2005-01-01,7477.11,485653,170,351,368,442,0,0,442,30,6.1,1.43,14,7548
"26",2005-02-01,7473.39,460724,209,347,356,792,0,0,792,33.3,6.3,0.9,7.5,12367
"27",2005-03-01,7467.3,421022,404,442,444,1082,0,0,1082,42.8,17.1,0.21,2.1,18540
"28",2005-04-01,7460.89,377249,597,1031,1052,1757,0,0,1757,57.8,22.3,0.07,NA,28418
"29",2005-05-01,7475.73,471486,850,3012,3178,1466,0,0,1466,66.6,35.2,0.29,0,24823
"30",2005-06-01,7496.06,624401,1236,3614,3877,1023,0,0,1023,75,38.9,0.28,0,17534
"31",2005-07-01,7498.38,648085,1380,1704,1617,1297,0,0,1297,86.7,45.8,0.66,0,24244
"32",2005-08-01,7496.16,630106,1110,1043,869,1317,0,0,1317,79.4,46.3,2.01,0,24513
"33",2005-09-01,7490.91,588444,884,572,428,1257,0,0,1257,73.8,39.1,1.39,0,22315
"34",2005-10-01,7489.34,576220,517,680,689,870,0,0,870,62.8,31.9,1.19,0,15534
"35",2005-11-01,7489.89,580491,255,452,459,376,0,0,376,47.6,19.7,0.44,5.5,6180
"36",2005-12-01,7489.99,581269,181,414,414,398,0,0,398,21.8,-2.7,1.15,20.6,6826
"37",2006-01-01,7489.06,574054,184,404,406,519,0,0,519,22.5,-5.7,1.19,15.9,9060
"38",2006-02-01,7488.48,569576,229,399,386,476,0,0,476,24.9,-6.6,0.47,8.1,7397
"39",2006-03-01,7487.77,564118,457,602,592,683,0,0,683,41.6,15.5,0.42,5.8,11619
"40",2006-04-01,7492.66,602197,728,1689,1744,1037,0,0,1037,60.6,24.8,0.36,1,17657
"41",2006-05-01,7510.68,751761,1111,3274,3517,824,0,0,824,71.1,32.5,0.46,0,14821
"42",2006-06-01,7517.05,808359,1470,2506,2606,1531,0,0,1531,80.9,39.8,0,0,28892
"43",2006-07-01,7513.07,772742,1520,1350,1242,1904,0,0,1904,84.3,50,1.37,0,37592
"44",2006-08-01,7506.88,718986,1190,1119,971,1974,0,0,1974,79.8,48.5,1.26,0,38449
"45",2006-09-01,7500.66,666782,932,801,684,1663,0,0,1663,68.1,35.3,1.21,0,30454.44
"46",2006-10-01,7499.59,657978,547,932,1024,1084,0,0,1084,56,29.7,1.93,1,20335.14
"47",2006-11-01,7498.1,645806,269,591,623,781,0,0,781,44.8,16.4,0.7,6.7,14188.35
"48",2006-12-01,7490.78,587427,186,421,426,1368,0,0,1368,34,10.5,0.28,6.1,25399.23
"49",2007-01-01,7482.56,524818,180,351,342,1366,0,0,1366,28.5,-3.6,0.29,6.4,25009.65
"50",2007-02-01,7478.89,497936,216,391,380,872,0,0,872,38.9,11.9,0.68,7,14081.17
"51",2007-03-01,7481.01,513383,430,828,856,570,0,0,570,50.6,18.9,0.16,1,9846.5
"52",2007-04-01,7483.72,533453,697,1078,1129,729,0,0,729,58.6,27.1,0.94,1.1,11371.82
"53",2007-05-01,7500.42,664801,1060,2826,3078,673,0,0,673,67.2,33.5,0.85,0,11253.79
"54",2007-06-01,7514.6,786336,1413,2824,2905,758,0,0,758,80.5,40.2,0.36,0,13172.69
"55",2007-07-01,7513.48,776373,1508,1317,1149,1455,0,0,1455,85.4,50.5,1.72,0,28803.14
"56",2007-08-01,7510.4,749321,1207,1179,1044,1599,0,0,1599,83,50.2,1.33,0,31572.3
"57",2007-09-01,7503.06,686714,950,740,638,1776,0,0,1776,74.6,40.3,1.38,0,33619.48
"58",2007-10-01,7498.53,649309,553,645,639,1244,0,0,1244,61.7,27.9,0.7,0.6,23813.67
"59",2007-11-01,7494.31,615285,265,414,414,982,0,0,982,51.6,16.2,0.05,0.1,18001.93
"60",2007-12-01,7489.9,580567,183,426,433,988,0,0,988,22.5,3,2.92,17.3,18598.3
"61",2008-01-01,7481.92,520082,180,388,393,1368,0,0,1368,13.4,-11.8,2.8,32.9,25428.43
"62",2008-02-01,7472.73,454424,221,376,373,1513,0,0,1513,24.4,-1.5,0.98,25.9,25704.33
"63",2008-03-01,7470.5,439177,403,541,497,782,0,0,782,33.6,4,1.03,9.5,13974.08
"64",2008-04-01,7466.24,410832,619,1909,1706,2375,0,0,2375,50.2,21.1,0.59,4.1,37838.46
"65",2008-05-01,7475.27,472117,913,5075,5174,3242,821,0,4063,65,31.2,0.6,NA,52036.4
"66",2008-06-01,7503.56,690900,1263,6439,6869,2408,334,0,2741,77,38.3,0.19,0,39623.3
"67",2008-07-01,7511.87,762170,1471,2855,2792,1672,0,0,1672,83.4,46.7,1.22,0,31403.03
"68",2008-08-01,7507.44,723775,1190,1337,1145,1942,0,0,1942,81.8,46.6,0.75,0,36414.27
"69",2008-09-01,7498.61,649962,932,704,587,1929,0,0,1929,73.6,36.7,1.7,0,34425.7
"70",2008-10-01,7492.14,598095,533,543,538,1378,0,0,1378,62.9,27.2,0.16,0,24805.86
"71",2008-11-01,7491.42,592437,258,465,461,556,0,0,556,47.5,20.8,0.4,4.2,9451.29
"72",2008-12-01,7490.25,583291,182,445,448,590,0,0,590,28.5,9.2,1.8,32.8,10299.39
"73",2009-01-01,7488.62,570655,183,433,430,636,0,0,636,25.8,3.7,0.27,2.9,11094.07
"74",2009-02-01,7486.19,552059,227,431,424,761,0,0,761,33.4,8.7,0.6,8,11954.59
"75",2009-03-01,7484.97,542831,449,652,644,795,0,0,795,46.1,18.1,0.72,10,13761.77
"76",2009-04-01,7489.84,580101,712,1661,1753,1023,0,0,1023,54.8,25.5,0.87,12,17134.41
"77",2009-05-01,7513.48,776373,1119,5163,5589,1790,163,0,1953,69.8,39,1.22,0,32564.15
"78",2009-06-01,7519.02,826302,1482,3814,3853,2896,54,0,2950,72.3,41,1.08,0,53930.05
"79",2009-07-01,7514.49,785354,1535,1704,1548,2345,0,0,2345,83,44.9,0.84,0,45083.76
"80",2009-08-01,7505.79,709710,1193,875,678,2086,0,0,2086,81,41.8,0.49,0,39331.79
"81",2009-09-01,7498.71,650778,931,592,440,1567,0,0,1567,74.8,37.3,0.21,0,27742.05
"82",2009-10-01,7492.82,603460,534,560,532,1321,0,0,1321,55.5,26.1,0.71,0,23730.22
"83",2009-11-01,7492.84,603618,260,478,455,471,0,0,471,48.3,14.8,0.13,0.9,8017.16
"84",2009-12-01,7489.73,579246,182,375,337,769,0,0,769,24.6,-1.8,0.64,11.5,13436.97
"85",2010-01-01,7487.22,559906,182,394,360,705,0,0,705,28.2,-2.2,0.22,4.8,12291.97
"86",2010-02-01,7485.33,545547,225,426,388,680,0,0,680,28.8,1.2,0.83,3.7,10600.67
"87",2010-03-01,7484.88,542154,447,496,467,544,0,0,544,41.3,8.7,0.6,6.1,9316.8
"88",2010-04-01,7490.8,587583,716,1539,1616,764,0,0,764,58.1,25.1,0.91,4.5,12756.27
"89",2010-05-01,7492.59,601643,1045,2133,2326,1795,93,0,1887,65,30.9,0.45,NA,31261.97
"90",2010-06-01,7508.76,735117,1379,3129,3440,863,0,0,863,78.8,39.9,0.24,0,15472.18
"91",2010-07-01,7504.17,696022,1446,976,811,1588,0,0,1588,86,47.8,0.36,0,29568.71
"92",2010-08-01,7500.54,665791,1143,1023,904,1496,0,0,1496,79.3,46.6,2.19,0,27482.96
"93",2010-09-01,7493.54,609162,901,517,389,1452,1,0,1453,76.9,35.8,0.8,0,25362.01
"94",2010-10-01,7486.2,552135,515,464,477,1383,0,0,1383,61.9,30.8,0.79,1,24316.74
"95",2010-11-01,7486.6,555176,250,454,457,399,0,0,399,42.2,14.1,0.21,3.1,6635.17
"96",2010-12-01,7486.84,557005,177,477,490,444,0,0,444,38.3,17.5,0.55,0.6,7738.21
"97",2011-01-01,7486.34,553198,180,378,376,437,0,0,437,23.3,-3.5,0.47,9.1,7579.36
"98",2011-02-01,7483.46,531512,224,380,375,767,0,0,767,29,0,0.58,9.2,12046.15
"99",2011-03-01,7478.48,494977,435,628,613,1215,0,0,1215,43,16.3,1.41,14.9,21085.62
"100",2011-04-01,7475.97,477055,668,1306,1295,1596,0,0,1596,55.4,25.2,0.93,1.9,26438.65
"101",2011-05-01,7478.26,493392,950,2917,2736,2636,0,0,2636,61.8,30.1,0.84,1.5,44204.88
"102",2011-06-01,7508.73,734858,1292,6533,7135,2140,313,0,2453,79.1,38.1,0.09,0,36206.31
"103",2011-07-01,7516.8,806099,1535,3618,3618,2435,0,0,2435,85,48.4,1.26,NA,46728.36
"104",2011-08-01,7511.67,760415,1223,1285,1082,2008,0,0,2008,84.4,47.5,0.75,NA,38809.96
"105",2011-09-01,7504.54,699138,956,809,588,1823,0,0,1823,73.3,38.7,0.48,0,33649.91
"106",2011-10-01,7497.84,643692,550,619,582,1512,0,0,1512,61.2,27,0.73,0.2,27634.4
"107",2011-11-01,7496.82,635428,267,490,481,625,0,0,625,46.8,14.6,0.21,2.1,10821.95
"108",2011-12-01,7489.07,574131,184,427,397,1421,0,0,1421,33.4,3.5,0.58,2.8,25292
"109",2012-01-01,7485.29,545245,180,378,363,844,0,0,844,35.6,2.6,1.28,11.6,14654.21
"110",2012-02-01,7483.66,533005,233,375,370,583,0,0,583,32.9,3.9,1.88,11.2,9377.84
"111",2012-03-01,7484.49,539221,443,636,658,527,0,0,527,51.5,13.3,1.17,1.8,9129.81
"112",2012-04-01,7483.54,532109,705,866,962,973,0,0,973,63.3,26,0.21,1.1,16007.22
"113",2012-05-01,7482.82,526748,1003,1079,1208,1150,0,0,1150,71.2,31.9,0.34,0,19461.11
"114",2012-06-01,7476.82,483086,1194,845,750,1559,0,0,1559,NA,NA,NA,NA,25547.83
"115",2012-07-01,7469.29,431017,1172,634,495,1462,0,0,1462,84.3,48.4,1.13,0,24217.11
"116",2012-08-01,7462.48,386703,892,584,459,1290,0,0,1290,84,46.5,0.88,0,20734.46
"117",2012-09-01,7454.82,340114,678,361,323,1133,0,0,1133,72.9,36.4,1.24,NA,17268.16
"118",2012-10-01,7452.55,326963,383,329,333,537,0,0,537,62.1,26,0.14,0.5,8208.16
"119",2012-11-01,7452.39,326047,188,315,316,327,0,0,327,50.5,13.6,0.21,0.7,4848.48
"120",2012-12-01,7452.65,327536,133,289,288,263,0,0,263,29.6,4.1,0.82,11.6,3929.45
"121",2013-01-01,7452.77,328224,136,258,258,244,0,0,244,18.4,-11.7,0.92,8.3,3583.88
"122",2013-02-01,7452.95,329258,171,286,285,265,0,0,265,27.4,-5.2,0.48,5.1,3503.77
"123",2013-03-01,7454.12,336027,343,372,377,256,0,0,256,43.1,11.7,0.26,3.3,3786.27
"124",2013-04-01,7454.46,338009,550,688,724,645,0,0,645,53.1,23.8,0.62,5.3,9504.44
"125",2013-05-01,7464.34,398535,815,1935,2163,937,0,0,937,65.3,31.6,0.74,NA,14563.85
"126",2013-06-01,7470.58,439719,1101,1870,2118,1159,0,0,1159,81.4,38.8,0.04,NA,18232.63
"127",2013-07-01,7463.2,391259,1110,823,724,1593,0,0,1593,84.3,50.8,1.55,0,25767.99
"128",2013-08-01,7457.29,354764,848,872,747,1452,0,0,1452,79.7,46.8,1.43,0,23011.43
"129",2013-09-01,7456.24,348493,656,1020,951,1114,0,0,1114,72.5,41.6,2.93,0,16701.77
"130",2013-10-01,7456.34,349088,397,765,785,749,0,0,749,55.8,25.3,0.29,0,11501.93
"131",2013-11-01,7459.38,367437,198,549,556,238,0,0,238,44.8,18.2,0.32,2.2,3406.28
"132",2013-12-01,7461.56,380926,144,408,405,186,0,0,186,22.3,-2.8,0.64,7.1,2723.56
"133",2014-01-01,7462.81,388788,149,363,362,232,0,0,232,29.2,-0.5,0.57,6.4,3469.89
"134",2014-02-01,7464.31,398343,189,404,409,229,0,0,229,31.4,7.8,1.41,13,3082.23
"135",2014-03-01,7465.76,407705,381,536,528,378,0,0,378,42.6,15.4,0.16,2,6043.7
"136",2014-04-01,7480.43,509134,641,2187,2174,472,0,0,472,54.4,23.9,NA,NA,7148.43
"137",2014-05-01,7501.73,675634,1049,3899,3938,1119,56,0,1174,63.7,31.8,0.24,0,19469.59
"138",2014-06-01,7499.76,659373,1361,5689,6061,3118,2379,444,5939,76.7,37,0,0,54068.24
"139",2014-07-01,7500.15,662579,1399,2002,1906,1927,0,0,1927,83.4,46.9,0.38,0,34752.07
"140",2014-08-01,7496,628817,1116,1164,1034,1695,0,0,1695,77.4,45.3,1.24,0,30502.26
"141",2014-09-01,7492.28,599198,886,883,813,1365,0,0,1365,74.1,40.5,0.97,0,23236.67
"142",2014-10-01,7490.77,587349,522,856,888,1040,0,0,1040,61.5,29.2,NA,0,17874.38
"143",2014-11-01,7491.85,595813,258,603,617,457,0,0,457,43.4,15.7,0.68,7.1,7450.9
"144",2014-12-01,7489.11,574440,182,549,548,894,0,0,894,31.1,11,0.44,4.6,15486.7
"145",2015-01-01,7485.48,546680,181,490,481,938,0,0,938,23.7,-1.6,0.24,2.3,16030.67
"146",2015-02-01,7485.47,546604,224,522,506,520,0,0,520,37.7,11.5,0.7,7.5,7828.28
"147",2015-03-01,7488.96,573280,452,863,871,422,0,0,422,49,17.2,0.2,8,6893.16
"148",2015-04-01,7492.04,597308,737,1169,1228,753,0,0,753,57,23,0.15,5.1,12747.38
"149",2015-05-01,7498.96,652820,1076,2083,2216,1162,0,0,1162,61.2,34.1,0.85,0,20578.21
"150",2015-06-01,7517.76,814803,1450,5976,6181,2101,1046,88,3229,78.3,40.8,0.25,0,37837.3
"151",2015-07-01,7516.74,805556,1544,2234,2134,2194,166,0,2359,77.6,46.3,0.45,0,41470.13
"152",2015-08-01,7512.97,771859,1227,1180,965,1708,0,0,1708,79.6,46.3,0.53,0,31853.25
"153",2015-09-01,7507.65,725574,969,836,651,1597,0,0,1597,74.3,38.5,0.4,0,28443.65
"154",2015-10-01,7501.39,672815,560,560,543,1409,0,0,1409,63.3,33.3,1.1,0,25743.43
"155",2015-11-01,7499.64,658389,272,517,510,755,0,0,755,43.6,17.6,0.36,3.5,12681
"156",2015-12-01,7495.46,624480,189,456,443,1004,0,0,1004,27.3,5.6,1.03,15.9,17818.58
"157",2016-01-01,7491.12,590086,187,439,435,995,0,0,995,15.6,-5.4,0.63,9,17286.93
"158",2016-02-01,7487.04,558531,240,471,450,1018,0,0,1015,24.3,-2,0.13,2,16141.06
"159",2016-03-01,7487.62,562967,454,684,669,605,0,0,605,46.8,20.2,0.31,6.8,10201.73
"160",2016-04-01,7488.62,570655,721,1206,1263,1064,0,0,1064,56.1,25.3,0.45,2,17694.64
"161",2016-05-01,7488.74,571581,1040,2521,2614,2178,311,0,2489,NA,NA,NA,NA,37649.79
"162",2016-06-01,7514.84,788479,1383,4446,4786,777,0,0,777,81.7,40.2,0.06,0,13583.85
"163",2016-07-01,7512.31,766038,1515,1479,1321,1819,0,0,1819,81.3,44.3,0.14,0,34366.58
"164",2016-08-01,7506.94,719500,1187,1052,930,1790,0,0,1790,76.3,44.9,2.09,0,33304.64
"165",2016-09-01,7500.48,665296,935,779,637,1674,0,0,1674,71.6,37.1,0,0,29739.09
"166",2016-10-01,7493.44,608369,539,545,529,1462,0,0,1462,64.2,28.2,NA,NA,26100.47
"167",2016-11-01,7492.53,601169,260,446,433,563,0,0,563,NA,NA,NA,NA,9436.04
"168",2016-12-01,7491.43,592515,183,429,423,569,0,0,567,27.6,3.9,1.44,13.2,9776.47
"169",2017-01-01,7490.68,586646,185,459,466,551,0,0,551,NA,NA,NA,NA,9536.05
"170",2017-02-01,7488.71,571350,230,525,514,793,15,0,796,34.5,13.5,0.68,2.8,12723.5
"171",2017-03-01,7488.71,571350,453,1139,1134,1126,6,0,1131,45.7,18.7,0.29,1,19359.56
"172",2017-04-01,7499.55,657650,748,2359,2433,897,0,0,897,55.8,24.3,0.26,0.2,15065.1
"173",2017-05-01,7491.98,596836,1116,3790,3963,2452,1053,1257,4761,65.4,30.5,1.02,1.5,43138.97
"174",2017-06-01,7515.35,793044,1368,6269,6582,2333,590,26,2949,80.6,39.4,0.05,NA,40176.89
"175",2017-07-01,7518.2,818809,1536,2232,2201,1830,0,0,1788,83.5,47.6,1.32,NA,34589.54
"176",2017-08-01,7516.38,802306,1246,1562,1361,1810,0,0,1810,79.4,44.4,1.89,NA,34259.15
"177",2017-09-01,7508.43,732274,982,760,586,1937,0,0,1921,74,37.7,0.69,NA,35114.75
"178",2017-10-01,7500.64,666615,562,595,599,1653,0,0,1653,63.3,27.7,0.67,0,30422.32
"179",2017-11-01,7499.68,658717,270,539,546,667,0,0,667,51.2,22.2,0.66,0.6,11654.99
"180",2017-12-01,7491.44,592594,187,435,401,1507,0,0,1507,41.2,9,0.32,2.9,26977.17
"181",2018-01-01,7486.51,554491,182,365,332,982,0,0,982,34.9,4.5,0.49,6.6,16970.44
"182",2018-02-01,7485.54,547134,225,444,413,572,0,0,572,38.2,13.1,1.2,13,8856.97
"183",2018-03-01,7483.73,533528,447,480,452,694,0,0,694,47.7,16.8,0.08,0,12095.95
"184",2018-04-01,7478.94,498298,688,792,808,1373,0,0,1373,57.9,26.6,0.22,0.5,22801.95
"185",2018-05-01,7480.9,512576,980,1632,1827,1383,0,0,1383,70,32,0.16,0,23367.01
"186",2018-06-01,7475.06,470641,1178,958,938,1643,0,0,1643,82.1,40.7,0.3,0,27050.6
"187",2018-07-01,7464.43,399113,1141,502,348,1647,0,0,1647,87.2,49,0.52,0,27467.62
"188",2018-08-01,7453.77,333994,838,460,303,1506,0,0,1506,83,44.8,0.45,0,24300.86
"189",2018-09-01,7444.44,282401,613,290,195,496,650,0,1146,75.9,37.8,0.29,0,7585.47
"190",2018-10-01,7437.59,247684,335,355,373,748,186,0,914,58.2,28.3,0.9,1,11244.6
"191",2018-11-01,7438.08,250079,161,361,362,318,0,0,318,39.6,9.1,0.2,3.5,4582.19
"192",2018-12-01,7437.82,248806,114,315,318,334,0,0,334,25.1,-2.4,0.73,14.6,4925.78
"193",2019-01-01,7438.4,251651,116,319,324,271,0,0,271,22.9,-4.5,0.84,21.9,3866.34
"194",2019-02-01,7437.59,247684,145,354,360,423,0,0,423,21.1,-5.5,1.07,10.2,5636.76
"195",2019-03-01,7438.01,249736,289,439,452,401,0,0,401,36.3,14.5,1.92,4.9,5957.77
"196",2019-04-01,7453.91,334806,487,1989,2039,551,0,0,551,55.6,25.9,0.72,0,8547.85
"197",2019-05-01,7471.68,447211,889,3550,3487,1399,296,13,1707,59.8,30.5,0.68,1,22898.02
"198",2019-06-01,7504.14,695770,1211,7456,7915,2088,1170,0,3258,74.2,38.6,0.29,0,33333.26
"199",2019-07-01,7518.61,822551,1527,4326,4590,1415,824,0,2239,83.3,45.5,0.66,0,27727.34
"200",2019-08-01,7514.39,784463,1233,1633,1492,1231,1015,0,2232,83,44.6,0.1,0,24235.3
"201",2019-09-01,7508.84,735807,978,756,530,760,798,0,1557,76.6,37.3,0.21,0,14648.04
"202",2019-10-01,7502.51,682122,565,522,458,1330,56,0,1386,57.4,19.3,0.67,7.1,25797.82
"203",2019-11-01,7497.63,641987,270,535,516,1205,0,0,1205,46,13.4,0.35,4.5,22285.26
"204",2019-12-01,7490.79,587505,186,493,483,1376,0,0,1376,25.5,3.3,0.84,16,25594.14
"205",2020-01-01,7486.45,554035,182,449,427,990,0,0,990,24.4,-0.4,1.12,13.2,17898.71
"206",2020-02-01,7484.2,537045,234,413,390,705,0,0,705,31.3,3.8,0.4,3.9,12093.39
"207",2020-03-01,7483.85,534425,445,584,560,620,0,0,620,46.4,19.8,0.47,5,10932.17
"208",2020-04-01,7480.49,509573,694,823,840,1229,0,0,1229,58.5,24.3,0.11,0.5,20640.14
"209",2020-05-01,7485.88,549707,1003,2279,2484,1339,271,0,1610,72.1,32.4,0.28,0,23280.85
"210",2020-06-01,7491.64,594163,1280,2203,2333,1392,53,0,1435,80.5,41,0.09,0,23867.49
"211",2020-07-01,7486.61,555252,1311,889,742,1491,10,0,1500,83.6,46.2,1.04,0,27330
"212",2020-08-01,7478.53,495337,1018,592,424,1550,0,0,1550,86.6,46,0.53,0,27887.73
"213",2020-09-01,7470.42,438635,779,444,380,1351,36,1,1383,74.3,36,0.88,2,22743.3
"214",2020-10-01,7463.47,388769,436,350,332,1081,0,0,1081,65.5,26.1,0.3,4,17812.57
"215",2020-11-01,7464.59,395904,209,427,414,303,0,0,303,45.8,17.9,0.9,4.1,4802.41
"216",2020-12-01,7464.73,396801,149,358,340,341,0,0,341,25.8,0.1,1.03,15,5427.88
"217",2021-01-01,7465.24,400082,152,371,351,316,0,0,316,26.2,-1.5,0.57,8.5,4833.81
"218",2021-02-01,7465.37,400921,192,390,366,371,0,0,371,32.8,7,0.93,10,5135.06
"219",2021-03-01,7465.07,398986,384,492,466,517,0,0,517,43.5,16.1,0.91,7,8032.19
"220",2021-04-01,7459.68,365217,592,774,796,1331,0,0,1331,58,24.2,0.23,0,NA
"221",2021-05-01,7457.14,349952,792,1354,1457,1561,29,0,1590,67.7,32.4,0.55,0,NA
"222",2021-06-01,7463.84,391117,1024,1999,2138,1290,0,0,1290,83,41.1,0.28,0,NA
"223",2021-07-01,7457.21,350366,1039,949,860,1595,0,0,1595,86.3,50.1,0.61,0,NA
"224",2021-08-01,7450.2,310402,787,870,740,1508,0,0,1508,82,44.4,0.41,0,NA
"225",2021-09-01,7436.58,241051,571,417,318,1573,0,0,1573,77.7,38,0.8,0,NA
"226",2021-10-01,7429.52,208892,302,430,433,948,0,0,948,58.8,28.1,0.68,0.1,NA
"227",2021-11-01,7431.94,219656,146,449,446,265,0,0,265,52,17.6,0.02,0,NA
"228",2021-12-01,7434.4,230874,106,358,356,174,0,0,174,32.3,8.4,0.9,8.3,NA
